point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,-0.006132,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,0.053868,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-0.066132,0,1,140,-1.602617,0.355885,0,1,-1.602617,0.355885,0,1,-1.602617,0.355885,0,1,-1.602617,0.355885,0,1,-1.602617,0.355885,0,1,-1.602617,0.355885,full_chain
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,0.003868,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,-0.036132,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.076132,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,-0.036132,0,1,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,-0.006132,0,1,140,3.199951,5.178453,0,139,nan,nan,1,0,3.467726,5.446228,0,137,nan,nan,1,0,3.199594,5.178096,0,139,3.199594,5.178096,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,-0.016132,0,1,140,-1.141461,0.907041,0,139,3.510865,5.559367,0,139,3.086904,5.135406,0,139,3.275653,5.324155,0,139,-1.089675,0.958827,0,139,-1.141461,0.907041,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,0.003868,0,1,140,-3.559536,-1.591034,0,139,-3.632100,-1.663598,0,139,-3.636250,-1.667748,0,139,-3.636250,-1.667748,0,139,-3.566710,-1.598208,0,139,-3.559536,-1.591034,full_chain
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,0.003868,0,1,140,-4.423516,-2.375014,0,139,-1.265738,0.782764,0,139,-1.282032,0.766470,0,139,-1.266119,0.782383,0,139,-4.423796,-2.375294,0,139,-1.282032,0.766470,normal
