point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-1.602617,-1.602617,-1.602617,-1.602617,-1.602617,-1.602617,full_chain
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,nan,nan,nan,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,3.199951,nan,3.467726,nan,3.199594,3.199594,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,-1.141461,3.510865,3.086904,3.275653,-1.089675,-1.141461,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,-3.559536,-3.632100,-3.636250,-3.636250,-3.566710,-3.559536,full_chain
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,-4.423516,-1.265738,-1.282032,-1.266119,-4.423796,-1.282032,normal
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,2.097992,2.926435,2.820847,2.926500,2.182402,2.097992,full_chain
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,1.878252,2.722502,2.637867,2.726852,1.902164,1.878252,full_chain
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,2.164579,2.538855,2.619808,2.538903,2.414991,2.164579,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,1.816219,2.544823,2.497324,2.527404,1.853632,1.816219,full_chain
R1_end,0.574379,32.673105,-2.058502,-2.064634,2.759292,2.130917,2.134130,2.130841,1.633873,1.633873,planarity
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,-0.419071,-0.419071,-0.419071,-0.419071,-0.419071,-0.419071,full_chain
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.778325,0.778325,0.778325,0.778325,0.778325,0.778325,full_chain
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,nan,nan,nan,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.181445,2.494293,2.362164,2.494433,2.179765,2.179765,planarity
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,2.037411,2.101299,2.166734,2.104679,2.038586,2.037411,full_chain
R2_27m,0.044379,14.883105,-1.908502,-1.914634,1.846569,2.272325,2.248898,2.272441,1.844356,1.844356,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,1.380806,2.063457,2.104888,2.063517,1.379469,1.379469,planarity
R2_33m,0.884379,20.823105,-2.058502,-2.064634,1.109114,1.854722,1.848913,1.873726,1.108195,1.108195,planarity
R2_36m,1.074379,23.753105,-1.928502,-1.944634,0.740824,1.826553,1.745785,1.826595,1.535976,0.740824,full_chain
R2_39m,1.504379,27.073105,-2.008502,-1.994634,0.619346,1.512352,1.393502,1.500872,0.954031,0.619346,full_chain
R2_42m,1.554379,29.983105,-2.068502,-2.024634,1.961072,1.617319,1.646587,1.641134,1.015188,1.015188,planarity
R2_end,1.954379,31.643105,-1.968502,-1.954634,0.324638,1.280265,1.261514,1.280288,1.648639,0.324638,full_chain
