point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,nan,nan,nan,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.642611,-0.642611,-0.641186,-0.641186,-0.641186,-0.642611,full_chain
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,-3.198614,-3.140299,-3.137868,-3.137868,-3.196483,-3.137868,normal
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.724132,3.652300,1.325642,1.325642,3.717973,1.325642,normal
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,3.473856,2.402163,1.865614,2.402800,3.974859,1.865614,normal
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,-5.314725,-3.438044,-3.418495,-3.418495,-5.318487,-3.418495,normal
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,3.333904,-3.413398,-3.413398,-3.413398,nan,-3.413398,kalman
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,5.297623,-4.197808,nan,nan,5.301673,-4.197808,kalman
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,2.530758,-1.458449,-1.458714,-1.458714,nan,-1.458714,normal
R1_42m,0.374379,30.113105,-2.018502,-2.014634,nan,1.015921,1.015323,1.016087,nan,1.015323,normal
R1_end,0.574379,32.673105,-2.058502,-2.064634,2.290574,0.898602,0.899120,0.899084,nan,0.898602,kalman
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,nan,nan,nan,nan,nan,nan,
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,1.351384,1.394313,1.393291,1.393932,1.351830,1.351384,full_chain
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,-3.127649,-3.121078,-3.121078,nan,-3.121078,normal
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,1.037994,-3.900462,1.126498,-3.890606,1.043574,-3.890606,outlier
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,-4.323780,-3.831787,-3.831903,-3.831903,-3.516966,-3.516966,planarity
R2_27m,0.044379,14.883105,-1.908502,-1.914634,-4.049531,-3.615506,-3.617569,-3.617569,-4.020553,-3.615506,kalman
R2_30m,0.404379,17.903105,-2.028502,-2.024634,-5.328347,2.216135,-3.500231,2.215354,-5.331497,-3.500231,normal
R2_33m,0.884379,20.823105,-2.058502,-2.064634,3.333904,-3.413398,-3.413398,-3.413398,nan,-3.413398,kalman
R2_36m,1.074379,23.753105,-1.928502,-1.944634,nan,0.526611,0.526567,0.526558,nan,0.526558,outlier
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.295371,0.592953,0.592634,0.592959,nan,0.592634,normal
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.470462,nan,nan,nan,0.188816,0.188816,planarity
R2_end,1.954379,31.643105,-1.968502,-1.954634,nan,0.100561,-0.178005,-0.063295,-1.499768,-1.499768,planarity
