point_id,x_m,y_m,z_ref_m,z_raw_m,z_raw_actual_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_hole_filling_m,dz_filt_hole_filling_m,missing_filt_hole_filling,filt_samples_hole_filling,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,-0.006132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,0.053868,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,-0.066132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,0.003868,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,-0.036132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,-0.076132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,-0.036132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,nan,-0.006132,0,0,140,3.448475,5.426977,0,139,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,3.447144,5.425646,0,139,3.447144,5.425646,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.799001,-0.016132,0,139,140,3.042228,5.090730,0,139,3.799001,5.847503,0,139,3.798831,5.847333,0,139,3.811537,5.860039,0,99,3.799001,5.847503,0,139,3.042033,5.090535,0,139,3.042033,5.090535,planarity
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,nan,0.003868,0,0,140,3.986266,5.954768,0,55,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,3.977051,5.945553,0,55,3.977051,5.945553,planarity
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,nan,0.003868,0,0,140,4.410380,6.458882,0,54,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,4.401063,6.449565,0,65,4.401063,6.449565,planarity
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,nan,-0.016132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,3.167917,5.146419,0,114,nan,nan,1,0,nan,nan,1,0,3.167917,5.146419,normal
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,3.025986,-0.016132,0,38,140,nan,nan,1,0,3.025986,4.944488,0,38,3.025747,4.944249,0,13,3.026150,4.944652,0,27,3.025986,4.944488,0,38,nan,nan,1,0,3.025747,4.944249,kalman
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,nan,0.023868,0,0,140,1.394288,3.452790,0,4,nan,nan,1,0,nan,nan,1,0,2.044273,4.102775,0,2,nan,nan,1,0,nan,nan,1,0,1.394288,3.452790,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,2.509434,0.003868,0,1,140,nan,nan,1,0,2.509434,4.527936,0,1,nan,nan,1,0,2.879425,4.897927,0,4,2.509434,4.527936,0,1,nan,nan,1,0,2.509434,4.527936,hole_filling
R1_end,0.574379,32.673105,-2.058502,-2.064634,nan,-0.006132,0,0,140,1.113431,3.171933,0,1,0.906190,2.964692,0,61,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,1.916837,3.975339,0,6,0.906190,2.964692,hole_filling
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,-0.016132,0,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,nan,-0.096132,0,0,140,-0.751418,1.177084,0,16,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,-0.751418,1.177084,full_chain
