point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_hole_filling_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,nan,nan,nan,nan,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,nan,nan,nan,nan,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,3.448475,nan,nan,nan,nan,3.447144,3.447144,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.042228,3.799001,3.798831,3.811537,3.799001,3.042033,3.042033,planarity
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,3.986266,nan,nan,nan,nan,3.977051,3.977051,planarity
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,4.410380,nan,nan,nan,nan,4.401063,4.401063,planarity
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,nan,nan,nan,3.167917,nan,nan,3.167917,normal
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,nan,3.025986,3.025747,3.026150,3.025986,nan,3.025747,kalman
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,1.394288,nan,nan,2.044273,nan,nan,1.394288,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,nan,2.509434,nan,2.879425,2.509434,nan,2.509434,hole_filling
R1_end,0.574379,32.673105,-2.058502,-2.064634,1.113431,0.906190,nan,nan,nan,1.916837,0.906190,hole_filling
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,-0.751418,nan,nan,nan,nan,nan,-0.751418,full_chain
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,nan,nan,nan,nan,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.456324,2.841717,2.841551,2.816647,2.841717,2.456778,2.456324,full_chain
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,3.477629,2.770445,2.770330,2.713295,2.770445,3.475043,2.713295,normal
R2_27m,0.044379,14.883105,-1.908502,-1.914634,1.897325,nan,nan,2.530056,nan,1.896130,1.896130,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,nan,nan,nan,nan,nan,nan,nan,
R2_33m,0.884379,20.823105,-2.058502,-2.064634,1.108627,nan,nan,2.379510,nan,1.108192,1.108192,planarity
R2_36m,1.074379,23.753105,-1.928502,-1.944634,2.722392,nan,nan,2.726654,nan,2.723083,2.722392,full_chain
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.599933,nan,nan,1.758728,nan,nan,1.599933,full_chain
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.566498,1.764754,1.765133,1.764754,1.764754,nan,0.566498,full_chain
R2_end,1.954379,31.643105,-1.968502,-1.954634,nan,1.474276,1.474833,1.452598,1.474276,0.098943,0.098943,planarity
