point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_hole_filling_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,nan,nan,nan,nan,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,nan,nan,nan,nan,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,3.384534,nan,nan,3.505641,nan,3.384486,3.384486,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,2.965937,3.631304,3.631163,3.606681,3.631304,3.042033,2.965937,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,-3.569121,-4.397433,-4.527853,-2.541142,-4.476531,-1.112068,-2.541142,normal
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,-4.869575,0.181438,-3.457311,0.068537,0.181438,-4.390411,-3.457311,kalman
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,2.801532,3.021835,3.021761,2.974526,3.021835,2.953370,2.801532,full_chain
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,nan,2.905197,2.905142,2.816313,2.905197,1.838549,1.838549,planarity
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,1.430424,2.755542,2.752743,2.488122,2.755542,1.709924,1.430424,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,1.254256,2.247911,2.468442,3.020611,2.457106,2.153732,1.254256,full_chain
R1_end,0.574379,32.673105,-2.058502,-2.064634,-1.018513,0.785171,-8.443427,-0.039743,-1.343407,1.687573,-1.343407,outlier
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,-0.459052,-0.419071,-0.419071,-0.419071,-0.419071,-0.419071,-0.459052,full_chain
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,-0.652038,0.120328,-0.652038,0.120328,0.120328,0.120328,-0.652038,full_chain
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,nan,nan,nan,nan,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.248786,2.719209,2.719224,2.678466,2.719209,2.246032,2.246032,planarity
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,2.081570,2.608247,2.609287,2.557464,2.608247,2.079016,2.079016,planarity
R2_27m,0.044379,14.883105,-1.908502,-1.914634,1.897325,2.421602,2.421519,2.322293,2.421602,1.896130,1.896130,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,1.380809,2.282183,2.282116,2.301964,2.282183,1.379469,1.379469,planarity
R2_33m,0.884379,20.823105,-2.058502,-2.064634,1.110719,2.000462,2.000407,1.955081,2.000462,1.112913,1.110719,full_chain
R2_36m,1.074379,23.753105,-1.928502,-1.944634,1.974672,1.826595,1.826553,2.039217,1.826595,1.805135,1.805135,planarity
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.662206,1.623821,1.635814,1.648980,1.623821,1.695590,1.623821,hole_filling
R2_42m,1.554379,29.983105,-2.068502,-2.024634,1.054940,0.527321,1.404011,1.403783,1.404026,0.745841,0.527321,hole_filling
R2_end,1.954379,31.643105,-1.968502,-1.954634,1.317698,1.323041,1.474812,1.435950,1.474276,1.657970,1.317698,full_chain
