point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,nan,nan,nan,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.642019,-0.642019,-0.640540,-0.640540,-0.640540,-0.642019,full_chain
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,-3.196551,-3.129722,-3.130347,-3.130347,-3.191558,-3.129722,kalman
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.723763,3.050425,0.938058,1.089591,3.717582,0.938058,normal
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,3.918877,1.533194,1.696926,1.533306,4.221733,1.533194,kalman
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,-4.638101,-3.436141,-3.431678,-3.431678,-4.548916,-3.431678,normal
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,3.470060,-3.371466,-1.412248,-3.371622,nan,-1.412248,normal
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,-2.128343,-3.003659,-3.001534,-3.001534,0.440684,-2.128343,full_chain
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,-2.128343,-3.003659,-3.001534,-3.001534,0.440684,-2.128343,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,2.328815,1.015703,1.015668,1.015822,1.941116,1.015668,normal
R1_end,0.574379,32.673105,-2.058502,-2.064634,1.492096,0.898547,0.899097,0.899094,-1.396821,-1.396821,planarity
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,nan,nan,nan,nan,nan,nan,
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,1.351442,1.395050,1.394314,1.394962,1.351912,1.351442,full_chain
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,-3.129061,-3.123449,-3.123449,nan,-3.123449,normal
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.272449,-3.891422,1.842548,-3.888601,1.746376,-3.888601,outlier
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,-3.514407,-3.120331,-2.712495,-2.712495,-3.511648,-2.712495,normal
R2_27m,0.044379,14.883105,-1.908502,-1.914634,-3.086987,-3.658094,-3.077391,-3.655082,-3.125180,-3.077391,normal
R2_30m,0.404379,17.903105,-2.028502,-2.024634,-5.310813,2.717863,-3.482866,2.265619,-5.365311,-3.482866,normal
R2_33m,0.884379,20.823105,-2.058502,-2.064634,3.470060,-3.371466,-1.412248,-3.371622,nan,-1.412248,normal
R2_36m,1.074379,23.753105,-1.928502,-1.944634,nan,0.526693,0.760343,0.526659,nan,0.526659,outlier
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.357623,0.592968,0.592638,0.592978,nan,0.592638,normal
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.580498,0.096176,0.096102,0.096066,0.820199,0.096066,outlier
R2_end,1.954379,31.643105,-1.968502,-1.954634,nan,0.100567,-0.131313,0.000313,0.458048,-0.131313,normal
