point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity
R1_start,-4.515621,-11.876895,nan,-0.919121,nan,0,1,140,-0.919121,nan,0,1,-0.919121,nan,0,1,-0.919121,nan,0,1,-0.919121,nan,0,1,-0.919121,nan,0,1
R1_3m,-4.175621,-8.906895,1.013795,0.072181,-0.941615,0,11,140,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,-0.160660,-1.174455,0,10
R1_6m,-3.835621,-5.926895,0.617528,-0.293572,-0.911100,0,24,140,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.544774,-1.162302,0,21
R1_9m,-3.495621,-2.946895,nan,-1.840985,nan,0,2,140,-1.840985,nan,0,2,-1.840985,nan,0,2,-1.840985,nan,0,2,-1.840985,nan,0,2,-1.840985,nan,0,2
R1_12m,-3.155621,0.033105,1.029631,-0.592061,-1.621692,0,4,140,-0.878322,-1.907953,0,3,-0.592061,-1.621692,0,4,-0.592061,-1.621692,0,4,-0.878322,-1.907953,0,3,-0.878322,-1.907953,0,3
R1_15m,-2.815621,3.013105,-0.643456,-0.667074,-0.023618,0,1102,140,-0.702339,-0.058883,0,1053,-0.668050,-0.024594,0,1100,-0.668101,-0.024645,0,1101,-0.667074,-0.023618,0,1102,-0.702984,-0.059528,0,1052
R1_18m,-2.475621,5.993105,2.292891,2.278958,-0.013933,0,55921,140,2.199175,-0.093716,0,52048,2.278831,-0.014059,0,55922,2.272502,-0.020389,0,54454,2.278958,-0.013933,0,55921,2.197039,-0.095852,0,52373
R1_21m,-2.135621,9.003105,2.570163,2.491285,-0.078877,0,63905,140,2.639090,0.068928,0,70264,2.490299,-0.079863,0,63973,2.492244,-0.077919,0,67711,2.491285,-0.078877,0,63905,2.637789,0.067626,0,70439
R1_24m,-1.795621,11.963105,2.951742,2.959584,0.007842,0,77906,140,2.887129,-0.064613,0,55900,2.958299,0.006557,0,77697,3.028403,0.076661,0,70795,2.959584,0.007842,0,77906,2.898745,-0.052997,0,54825
R1_27m,-1.425621,15.083105,2.506200,2.481962,-0.024237,0,74099,140,2.622023,0.115823,0,74241,2.467618,-0.038581,0,72611,2.502846,-0.003354,0,74137,2.481962,-0.024237,0,74099,3.225732,0.719533,0,42337
R1_30m,-1.095621,18.043105,2.760393,2.762421,0.002029,0,24965,140,3.214104,0.453712,0,43479,2.781311,0.020918,0,25136,2.859369,0.098976,0,25563,2.762421,0.002029,0,24965,3.451759,0.691366,0,29039
R1_33m,-0.755621,20.933105,2.956612,2.961787,0.005175,0,17596,140,2.862682,-0.093930,0,20714,2.960889,0.004277,0,17632,2.970711,0.014099,0,16899,2.961787,0.005175,0,17596,3.211341,0.254729,0,16325
R1_36m,-0.395621,23.973105,2.877932,2.868637,-0.009295,0,12167,140,2.447914,-0.430018,0,12991,2.869374,-0.008558,0,12240,2.917489,0.039557,0,11487,2.868637,-0.009295,0,12167,2.828157,-0.049775,0,11752
R1_39m,-0.055621,26.453105,2.350738,2.314358,-0.036380,0,6032,140,2.232340,-0.118398,0,7143,2.306866,-0.043871,0,5922,2.239010,-0.111727,0,5991,2.314358,-0.036380,0,6032,2.270625,-0.080113,0,6765
R1_42m,0.374379,30.113105,2.547390,2.518961,-0.028429,0,4360,140,1.934213,-0.613177,0,3876,2.512944,-0.034446,0,4374,2.759593,0.212202,0,4732,2.518961,-0.028429,0,4360,2.435773,-0.111617,0,7169
R1_end,0.574379,32.673105,2.286007,2.290274,0.004267,0,3686,140,2.027095,-0.258912,0,1132,2.279543,-0.006464,0,3702,2.298342,0.012335,0,3720,2.290274,0.004267,0,3686,0.942793,-1.343215,0,2828
R2_start,-2.985621,-11.976895,4.596840,nan,nan,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0
R2_3m,-2.655621,-8.976895,1.973020,1.306039,-0.666981,0,10,140,1.306039,-0.666981,0,10,1.306039,-0.666981,0,10,1.306039,-0.666981,0,10,1.306039,-0.666981,0,10,1.306039,-0.666981,0,10
R2_6m,-2.305621,-6.026895,0.996649,0.541007,-0.455641,0,24,140,0.541007,-0.455641,0,24,0.541007,-0.455641,0,24,0.541007,-0.455641,0,24,0.541007,-0.455641,0,24,0.541007,-0.455641,0,24
R2_9m,-1.965621,-3.046895,nan,nan,nan,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0
R2_12m,-1.625621,-0.066895,nan,0.378934,nan,0,13,140,nan,nan,1,0,0.378718,nan,0,13,0.378934,nan,0,13,nan,nan,1,0,0.378934,nan,0,13
R2_15m,-1.285621,2.923105,1.554194,1.554124,-0.000070,0,78411,140,1.499983,-0.054210,0,79077,1.553902,-0.000292,0,78535,1.549139,-0.005054,0,77818,1.554124,-0.000070,0,78411,1.499525,-0.054669,0,78459
R2_18m,-0.945621,5.903105,1.613561,1.611804,-0.001757,0,169686,140,1.626302,0.012741,0,167087,1.611669,-0.001892,0,169603,1.615203,0.001642,0,169432,1.611804,-0.001757,0,169686,1.622520,0.008959,0,168816
R2_21m,-0.615621,8.883105,1.924698,1.931053,0.006356,0,74886,140,1.837381,-0.087316,0,64426,1.930945,0.006247,0,74875,1.906896,-0.017802,0,71628,1.931053,0.006356,0,74886,1.826095,-0.098603,0,64200
R2_24m,-0.275621,11.853105,1.417172,1.414636,-0.002536,0,32508,140,1.564458,0.147286,0,30339,1.414492,-0.002680,0,32522,1.445000,0.027828,0,33104,1.414636,-0.002536,0,32508,1.610981,0.193809,0,31659
R2_27m,0.044379,14.883105,1.402897,1.410616,0.007719,0,14313,140,1.644794,0.241897,0,14502,1.406842,0.003945,0,14292,1.412991,0.010094,0,14105,1.410616,0.007719,0,14313,1.638662,0.235765,0,14581
R2_30m,0.404379,17.903105,1.284753,1.029346,-0.255406,0,10123,140,0.992812,-0.291940,0,9850,1.027333,-0.257420,0,10126,0.973485,-0.311267,0,9672,1.029346,-0.255406,0,10123,1.004446,-0.280307,0,9327
R2_33m,0.884379,20.823105,0.934256,0.829688,-0.104569,0,7374,140,0.728260,-0.205997,0,9339,0.834317,-0.099939,0,7396,0.919635,-0.014621,0,8321,0.829688,-0.104569,0,7374,0.975047,0.040790,0,6142
R2_36m,1.074379,23.753105,0.854321,0.841911,-0.012410,0,3658,140,1.024483,0.170163,0,7054,0.843089,-0.011232,0,3644,0.907302,0.052981,0,4001,0.841911,-0.012410,0,3658,0.900216,0.045896,0,3808
R2_39m,1.504379,27.073105,0.459046,0.472536,0.013491,0,2796,140,1.172802,0.713757,0,3797,0.492691,0.033646,0,2833,0.453221,-0.005824,0,2726,0.472536,0.013491,0,2796,0.688633,0.229587,0,3681
R2_42m,1.554379,29.983105,0.639246,0.630077,-0.009169,0,1774,140,0.841759,0.202513,0,1799,0.630223,-0.009023,0,1760,0.648655,0.009409,0,1532,0.630077,-0.009169,0,1774,0.820351,0.181105,0,2374
R2_end,1.954379,31.643105,0.378468,0.334168,-0.044301,0,1746,140,0.383679,0.005210,0,291,0.325670,-0.052799,0,1734,0.415905,0.037436,0,1463,0.334168,-0.044301,0,1746,0.321491,-0.056978,0,1839
