point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity
R1_start,-4.515000,-11.886000,,-0.919121,,0,1,140,-0.919121,,0,1,-0.919121,,0,1,-0.919121,,0,1,-0.919121,,0,1,-0.919121,,0,1
R1_3m,-4.174834,-8.905372,1.013795,0.072181,-0.941615,0,11,140,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,0.072181,-0.941615,0,11,-0.160660,-1.174455,0,10
R1_6m,-3.834668,-5.924744,0.617528,-0.293572,-0.911100,0,24,140,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.293572,-0.911100,0,24,-0.544774,-1.162302,0,21
R1_9m,-3.494503,-2.944116,,-1.840985,,0,2,140,-1.840985,,0,2,-1.840985,,0,2,-1.840985,,0,2,-1.840985,,0,2,-1.840985,,0,2
R1_12m,-3.154337,0.036511,1.029631,-0.592061,-1.621692,0,4,140,-0.878322,-1.907953,0,3,-0.592061,-1.621692,0,4,-0.592061,-1.621692,0,4,-0.878322,-1.907953,0,3,-0.878322,-1.907953,0,3
R1_15m,-2.814171,3.017139,-0.643456,-0.667074,-0.023618,0,1102,140,-0.702023,-0.058567,0,1057,-0.667926,-0.024470,0,1102,-0.668101,-0.024645,0,1101,-0.667074,-0.023618,0,1102,-0.702822,-0.059366,0,1058
R1_18m,-2.474005,5.997767,2.292829,2.278790,-0.014039,0,55995,140,2.199922,-0.092906,0,52310,2.278620,-0.014209,0,56011,2.272243,-0.020586,0,54585,2.278790,-0.014039,0,55995,2.198708,-0.094120,0,52646
R1_21m,-2.133839,8.978395,2.565722,2.481910,-0.083812,0,63679,140,2.635380,0.069657,0,69881,2.480097,-0.085625,0,63700,2.490150,-0.075572,0,67746,2.481910,-0.083812,0,63679,2.633018,0.067296,0,70553
R1_24m,-1.793673,11.959023,2.951807,2.965345,0.013538,0,72694,140,2.897093,-0.054714,0,54473,2.965069,0.013263,0,72561,3.032680,0.080874,0,67086,2.965345,0.013538,0,72694,2.914814,-0.036993,0,53831
R1_27m,-1.453508,14.939651,2.550455,2.527543,-0.022912,0,78826,140,2.628223,0.077768,0,74190,2.515544,-0.034910,0,77332,2.532322,-0.018133,0,76870,2.527543,-0.022912,0,78826,3.216335,0.665881,0,42866
