point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity
R1_start,-4.507890,-11.878118,-1.884634,-0.919121,0.965513,0,1,140,-0.919121,0.965513,0,1,-0.919121,0.965513,0,1,-0.919121,0.965513,0,1,-0.919121,0.965513,0,1,-0.919121,0.965513,0,1
R1_3m,-4.159295,-8.907650,-2.029014,0.072181,2.101195,0,11,140,0.072181,2.101195,0,11,0.072181,2.101195,0,11,0.072181,2.101195,0,11,0.072181,2.101195,0,11,-0.160660,1.868354,0,10
R1_6m,-3.789471,-5.930148,-1.976964,-0.293572,1.683392,0,24,140,-0.293572,1.683392,0,24,-0.293572,1.683392,0,24,-0.293572,1.683392,0,24,-0.293572,1.683392,0,24,-0.544774,1.432190,0,21
R1_9m,-3.312689,-2.965363,-2.051213,-1.840985,0.210228,0,2,140,-1.840985,0.210228,0,2,-1.840985,0.210228,0,2,-1.840985,0.210228,0,2,-1.840985,0.210228,0,2,-1.840985,0.210228,0,2
R1_12m,-3.117890,0.031882,-2.056649,-0.592061,1.464588,0,4,140,-0.878322,1.178327,0,3,-0.592061,1.464588,0,4,-0.592061,1.464588,0,4,-0.878322,1.178327,0,3,-0.878322,1.178327,0,3
R1_15m,-2.723515,3.006335,-2.065728,-0.667074,1.398654,0,1102,140,-0.702023,1.363705,0,1057,-0.667926,1.397802,0,1102,-0.668101,1.397627,0,1101,-0.667074,1.398654,0,1102,-0.702822,1.362906,0,1058
R1_18m,-2.410736,5.990322,-2.019771,2.278790,4.298561,0,55995,140,2.199922,4.219693,0,52310,2.278620,4.298391,0,56011,2.272243,4.292014,0,54585,2.278790,4.298561,0,55995,2.198708,4.218479,0,52646
R1_21m,-2.057890,8.969330,-2.074634,2.481910,4.556544,0,63679,140,2.635380,4.710014,0,69881,2.480097,4.554731,0,63700,2.490150,4.564784,0,67746,2.481910,4.556544,0,63679,2.633018,4.707652,0,70553
R1_24m,-1.791375,11.958624,-2.022059,2.965345,4.987404,0,72694,140,2.897093,4.919152,0,54473,2.965069,4.987128,0,72561,3.032680,5.054739,0,67086,2.965345,4.987404,0,72694,2.914814,4.936873,0,53831
R1_27m,-1.365073,14.929742,-1.954731,2.527543,4.482274,0,78826,140,2.628223,4.582954,0,74190,2.515544,4.470275,0,77332,2.532322,4.487053,0,76870,2.527543,4.482274,0,78826,3.216335,5.171066,0,42866
R1_30m,-1.112790,17.920065,-2.049601,2.721307,4.770908,0,24798,140,3.219201,5.268802,0,44534,2.738145,4.787746,0,24993,2.863148,4.912749,0,25999,2.721307,4.770908,0,24798,3.452914,5.502515,0,29257
R1_33m,-0.773176,20.900907,2.949971,2.948306,-0.001665,0,18479,140,2.874610,-0.075361,0,21770,2.948205,-0.001766,0,18447,2.934277,-0.015694,0,17543,2.948306,-0.001665,0,18479,3.259765,0.309794,0,16519
