point_id,x_m,y_m,z_ref_m,z_raw_m,z_raw_actual_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_hole_filling_m,dz_filt_hole_filling_m,missing_filt_hole_filling,filt_samples_hole_filling,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,-0.006132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,0.053868,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,nan,-0.066132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,0.003868,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,-0.036132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,-0.076132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,-0.036132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,nan,-0.006132,1,0,140,3.384534,5.363036,0,139,nan,nan,1,0,nan,nan,1,0,3.505641,5.484143,0,70,nan,nan,1,0,3.384486,5.362988,0,139,3.384486,5.362988,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.631304,-0.016132,0,139,140,2.965937,5.014439,0,139,3.631304,5.679806,0,139,3.631163,5.679665,0,139,3.606681,5.655183,0,139,3.631304,5.679806,0,139,3.042033,5.090535,0,139,2.965937,5.014439,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,-4.476531,0.003868,0,100,140,-3.569121,-1.600619,0,139,-4.397433,-2.428931,0,101,-4.527853,-2.559351,0,126,-2.541142,-0.572640,0,132,-4.476531,-2.508029,0,100,-1.112068,0.856434,0,139,-2.541142,-0.572640,normal
