point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,-0.006132,0,1,140,-0.919121,0.969381,0,1,-0.919121,0.969381,0,1,-0.919121,0.969381,0,1,-0.919121,0.969381,0,1,-0.919121,0.969381,0,1
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,0.053868,0,11,140,0.072181,2.100683,0,11,0.072181,2.100683,0,11,0.072181,2.100683,0,11,0.072181,2.100683,0,11,-0.160660,1.867842,0,10
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-0.066132,0,24,140,-0.293572,1.664930,0,24,-0.293572,1.664930,0,24,-0.293572,1.664930,0,24,-0.293572,1.664930,0,24,-0.544774,1.413728,0,21
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,0.003868,0,2,140,-1.840985,0.157517,0,2,-1.840985,0.157517,0,2,-1.840985,0.157517,0,2,-1.840985,0.157517,0,2,-1.840985,0.157517,0,2
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,-0.036132,0,4,140,-0.878322,1.120180,0,3,-0.592061,1.406441,0,4,-0.592061,1.406441,0,4,-0.878322,1.120180,0,3,-0.878322,1.120180,0,3
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.076132,0,1106,140,-0.700555,1.227947,0,1093,-0.667695,1.260807,0,1118,-0.668354,1.260148,0,1105,-0.667331,1.261171,0,1106,-0.701813,1.226689,0,1088
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,-0.036132,0,55743,140,2.197054,4.205556,0,52366,2.278366,4.286868,0,55775,2.272420,4.280922,0,54308,2.278928,4.287430,0,55743,2.195925,4.204427,0,52586
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,-0.006132,0,63429,140,2.630344,4.608846,0,69898,2.482910,4.461412,0,63471,2.491280,4.469782,0,67307,2.485258,4.463760,0,63429,2.632538,4.611040,0,70320
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,-0.016132,0,78044,140,2.890599,4.939101,0,56413,2.961105,5.009607,0,77896,3.028039,5.076541,0,70683,2.961660,5.010162,0,78044,2.899963,4.948465,0,55503
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,0.003868,0,73767,140,2.622279,4.590781,0,73591,2.469133,4.437635,0,72274,2.503534,4.472036,0,73557,2.482971,4.451473,0,73767,3.218518,5.187020,0,42031
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,0.003868,0,25033,140,3.210638,5.259140,0,44196,2.771745,4.820247,0,25212,2.860738,4.909240,0,25714,2.754267,4.802769,0,25033,3.440781,5.489283,0,29415
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,-0.016132,0,17569,140,2.859326,4.837828,0,20753,2.952819,4.931321,0,17621,2.960274,4.938776,0,16903,2.954106,4.932608,0,17569,3.228705,5.207207,0,16245
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,-0.016132,0,12896,140,2.452544,4.371046,0,13580,2.859137,4.777639,0,12986,2.894995,4.813497,0,11991,2.858881,4.777383,0,12896,2.832350,4.750852,0,12097
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,0.023868,0,6436,140,2.108031,4.166533,0,7129,2.166488,4.224990,0,6372,2.158902,4.217404,0,6240,2.170616,4.229118,0,6436,2.407449,4.465951,0,8740
R1_42m,0.374379,30.113105,-2.018502,-2.014634,0.003868,0,3317,140,2.071376,4.089878,0,2323,2.664235,4.682737,0,3322,2.852499,4.871001,0,3932,2.684310,4.702812,0,3317,2.463508,4.482010,0,5834
R1_end,0.574379,32.673105,-2.058502,-2.064634,-0.006132,0,3744,140,2.033358,4.091860,0,1116,2.264412,4.322914,0,3729,2.281526,4.340028,0,3772,2.267988,4.326490,0,3744,0.940785,2.999287,0,2802
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,-0.016132,1,0,140,,,1,0,,,1,0,,,1,0,,,1,0,,,1,0
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,-0.096132,0,10,140,1.306039,3.234541,0,10,1.306039,3.234541,0,10,1.306039,3.234541,0,10,1.306039,3.234541,0,10,1.306039,3.234541,0,10
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.083868,0,24,140,0.541007,2.549509,0,24,0.541007,2.549509,0,24,0.541007,2.549509,0,24,0.541007,2.549509,0,24,0.541007,2.549509,0,24
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,0.093868,1,0,140,,,1,0,,,1,0,,,1,0,,,1,0,,,1,0
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,0.123868,0,13,140,,,1,0,0.378718,2.407220,0,13,0.378934,2.407436,0,13,,,1,0,0.378934,2.407436,0,13
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,0.083868,0,77638,140,1.500469,3.508971,0,78639,1.554047,3.562549,0,77724,1.549500,3.558002,0,76917,1.554148,3.562650,0,77638,1.499226,3.507728,0,77867
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,-0.006132,0,169444,140,1.624800,3.563302,0,166556,1.612955,3.551457,0,169346,1.616306,3.554808,0,169196,1.613134,3.551636,0,169444,1.621593,3.560095,0,168344
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,-0.016132,0,74712,140,1.837418,3.875920,0,64327,1.931855,3.970357,0,74699,1.907981,3.946483,0,71448,1.932191,3.970693,0,74712,1.827059,3.865561,0,64182
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,0.003868,0,33110,140,1.583436,3.531938,0,30826,1.436880,3.385382,0,33105,1.472367,3.420869,0,34055,1.437515,3.386017,0,33110,1.608513,3.557015,0,31369
R2_27m,0.044379,14.883105,-1.908502,-1.914634,-0.006132,0,14666,140,1.620685,3.529187,0,14593,1.408088,3.316590,0,14645,1.411688,3.320190,0,14437,1.410840,3.319342,0,14666,1.603886,3.512388,0,14586
R2_30m,0.404379,17.903105,-2.028502,-2.024634,0.003868,0,10238,140,0.912150,2.940652,0,9555,1.022755,3.051257,0,10227,0.968703,2.997205,0,9621,1.025995,3.054497,0,10238,0.967983,2.996485,0,9011
