point_id,x_m,y_m,z_ref_m,z_raw_m,z_raw_actual_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_hole_filling_m,dz_filt_hole_filling_m,missing_filt_hole_filling,filt_samples_hole_filling,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,-0.006132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,0.053868,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-1.018966,-0.066132,0,1,141,-1.018966,0.939536,0,77,-1.018966,0.939536,0,1,-1.018966,0.939536,0,77,-1.018966,0.939536,0,1,-1.018966,0.939536,0,1,-1.018966,0.939536,0,1,-1.018966,0.939536,hole_filling
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,0.003868,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,-0.036132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,-0.076132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,-0.036132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,nan,-0.006132,1,0,141,3.384471,5.362973,0,141,nan,nan,1,0,nan,nan,1,0,3.505762,5.484264,0,64,nan,nan,1,0,3.384412,5.362914,0,141,3.384412,5.362914,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,3.631502,-0.016132,0,141,141,2.965945,5.014447,0,141,3.631502,5.680004,0,141,3.631374,5.679876,0,141,3.607924,5.656426,0,141,3.631502,5.680004,0,141,3.042064,5.090566,0,141,2.965945,5.014447,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,-4.525009,0.003868,0,109,141,-3.571734,-1.603232,0,141,-4.361183,-2.392681,0,110,-4.522210,-2.553708,0,127,-2.948514,-0.980012,0,136,-4.525009,-2.556507,0,109,-2.130416,-0.161914,0,141,-2.130416,-0.161914,planarity
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,0.666930,0.003868,0,141,141,-4.813236,-2.764734,0,141,0.666930,2.715432,0,141,-3.477297,-1.428795,0,141,0.541257,2.589759,0,141,0.666930,2.715432,0,141,-4.522574,-2.474072,0,141,-3.477297,-1.428795,kalman
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,3.021412,-0.016132,0,141,141,2.801173,4.779675,0,141,3.021412,4.999914,0,141,3.021345,4.999847,0,141,2.954314,4.932816,0,140,3.021412,4.999914,0,141,2.933254,4.911756,0,141,2.801173,4.779675,full_chain
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,2.904886,-0.016132,0,141,141,1.871678,3.790180,0,1,2.904886,4.823388,0,141,2.904826,4.823328,0,141,2.806239,4.724741,0,141,2.904886,4.823388,0,141,1.839481,3.757983,0,20,1.839481,3.757983,planarity
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,2.755426,0.023868,0,72,141,1.474747,3.533249,0,18,2.755426,4.813928,0,72,2.752703,4.811205,0,74,2.476933,4.535435,0,94,2.755426,4.813928,0,72,1.679217,3.737719,0,20,1.474747,3.533249,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,2.384944,0.003868,0,14,141,1.024426,3.042928,0,5,1.974012,3.992514,0,24,2.415208,4.433710,0,7,2.960855,4.979357,0,46,2.384944,4.403446,0,14,2.224413,4.242915,0,43,1.024426,3.042928,full_chain
R1_end,0.574379,32.673105,-2.058502,-2.064634,2.298242,-0.006132,0,4,141,1.860911,3.919413,0,62,0.920866,2.979368,0,94,2.294572,4.353074,0,4,2.298242,4.356744,0,4,2.298242,4.356744,0,4,1.916216,3.974718,0,38,0.920866,2.979368,hole_filling
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,-0.016132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,nan,-0.096132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.412335,0.083868,0,1,141,0.412335,2.420837,0,27,0.412335,2.420837,0,1,0.412335,2.420837,0,27,0.412335,2.420837,0,1,0.412335,2.420837,0,1,0.412335,2.420837,0,1,0.412335,2.420837,full_chain
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,0.093868,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,0.123868,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,nan,0.083868,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,-0.006132,1,0,141,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.719413,-0.016132,0,141,141,2.248781,4.287283,0,141,2.719413,4.757915,0,141,2.719465,4.757967,0,141,2.680900,4.719402,0,141,2.719413,4.757915,0,141,2.246034,4.284536,0,141,2.246034,4.284536,planarity
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,2.604448,0.003868,0,141,141,2.081521,4.030023,0,141,2.604448,4.552950,0,141,2.604698,4.553200,0,141,2.542496,4.490998,0,141,2.604448,4.552950,0,141,2.078969,4.027471,0,141,2.078969,4.027471,planarity
R2_27m,0.044379,14.883105,-1.908502,-1.914634,2.421761,-0.006132,0,141,141,1.897274,3.805776,0,141,2.421761,4.330263,0,141,2.421686,4.330188,0,141,2.274687,4.183189,0,141,2.421761,4.330263,0,141,1.896069,3.804571,0,141,1.896069,3.804571,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,2.282359,0.003868,0,141,141,1.380787,3.409289,0,141,2.282359,4.310861,0,141,2.282294,4.310796,0,141,2.304675,4.333177,0,141,2.282359,4.310861,0,141,1.379429,3.407931,0,141,1.379429,3.407931,planarity
R2_33m,0.884379,20.823105,-2.058502,-2.064634,2.000626,-0.006132,0,141,141,1.110698,3.169200,0,141,2.000626,4.059128,0,141,2.000582,4.059084,0,141,1.961555,4.020057,0,140,2.000626,4.059128,0,141,1.108323,3.166825,0,141,1.108323,3.166825,planarity
R2_36m,1.074379,23.753105,-1.928502,-1.944634,1.826682,-0.016132,0,141,141,1.984008,3.912510,0,141,1.826682,3.755184,0,141,1.826651,3.755153,0,141,2.008931,3.937433,0,123,1.826682,3.755184,0,141,1.854057,3.782559,0,140,1.826651,3.755153,kalman
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.622294,0.013868,0,141,141,1.607718,3.616220,0,121,1.622294,3.630796,0,141,1.632367,3.640869,0,141,1.664529,3.673031,0,129,1.622294,3.630796,0,141,1.623680,3.632182,0,56,1.607718,3.616220,full_chain
R2_42m,1.554379,29.983105,-2.068502,-2.024634,1.400959,0.043868,0,141,141,0.338380,2.406882,0,17,0.214179,2.282681,0,141,1.400978,3.469480,0,141,1.400447,3.468949,0,129,1.400959,3.469461,0,141,1.144912,3.213414,0,55,0.214179,2.282681,hole_filling
R2_end,1.954379,31.643105,-1.968502,-1.954634,1.473795,0.013868,0,55,141,1.104392,3.072894,0,136,1.132793,3.101295,0,63,1.474438,3.442940,0,43,1.436520,3.405022,0,48,1.473795,3.442297,0,55,1.589279,3.557781,0,54,1.104392,3.072894,full_chain
