point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_hole_filling_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m,z_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,nan,nan,nan,nan,nan,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-1.018966,-1.018966,-1.018966,-1.018966,-1.018966,-1.018966,-1.018966,hole_filling
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,nan,nan,nan,nan,nan,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,nan,nan,nan,nan,nan,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,nan,nan,nan,nan,nan,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,nan,nan,nan,nan,nan,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,3.384471,nan,nan,3.505762,nan,3.384412,3.384412,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,2.965945,3.631502,3.631374,3.607924,3.631502,3.042064,2.965945,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,-3.571734,-4.361183,-4.522210,-2.948514,-4.525009,-2.130416,-2.130416,planarity
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,-4.813236,0.666930,-3.477297,0.541257,0.666930,-4.522574,-3.477297,kalman
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,2.801173,3.021412,3.021345,2.954314,3.021412,2.933254,2.801173,full_chain
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,1.871678,2.904886,2.904826,2.806239,2.904886,1.839481,1.839481,planarity
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,1.474747,2.755426,2.752703,2.476933,2.755426,1.679217,1.474747,full_chain
R1_42m,0.374379,30.113105,-2.018502,-2.014634,1.024426,1.974012,2.415208,2.960855,2.384944,2.224413,1.024426,full_chain
R1_end,0.574379,32.673105,-2.058502,-2.064634,1.860911,0.920866,2.294572,2.298242,2.298242,1.916216,0.920866,hole_filling
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,nan,nan,nan,nan,nan,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,nan,nan,nan,nan,nan,nan,nan,
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.412335,0.412335,0.412335,0.412335,0.412335,0.412335,0.412335,full_chain
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,nan,nan,nan,nan,nan,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,nan,nan,nan,nan,nan,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,nan,nan,nan,nan,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.248781,2.719413,2.719465,2.680900,2.719413,2.246034,2.246034,planarity
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,2.081521,2.604448,2.604698,2.542496,2.604448,2.078969,2.078969,planarity
R2_27m,0.044379,14.883105,-1.908502,-1.914634,1.897274,2.421761,2.421686,2.274687,2.421761,1.896069,1.896069,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,1.380787,2.282359,2.282294,2.304675,2.282359,1.379429,1.379429,planarity
R2_33m,0.884379,20.823105,-2.058502,-2.064634,1.110698,2.000626,2.000582,1.961555,2.000626,1.108323,1.108323,planarity
R2_36m,1.074379,23.753105,-1.928502,-1.944634,1.984008,1.826682,1.826651,2.008931,1.826682,1.854057,1.826651,kalman
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.607718,1.622294,1.632367,1.664529,1.622294,1.623680,1.607718,full_chain
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.338380,0.214179,1.400978,1.400447,1.400959,1.144912,0.214179,hole_filling
R2_end,1.954379,31.643105,-1.968502,-1.954634,1.104392,1.132793,1.474438,1.436520,1.473795,1.589279,1.104392,full_chain
