point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_profile_m,dz_raw_profile_m,profile_xy_dist_m
R1_start,-4.507890,-11.878118,nan,-0.680257,nan,0,6,140,-0.680257,nan,0,6,-0.680257,nan,0,6,-0.680257,nan,0,6,-0.680257,nan,0,6,-0.680257,nan,0,6,-1.894634,1.214377,0.000000
R1_3m,-4.159295,-8.907650,0.507681,-0.437072,-0.944753,0,39,140,-0.437072,-0.944753,0,39,-0.437072,-0.944753,0,39,-0.437072,-0.944753,0,39,-0.437072,-0.944753,0,39,-0.559903,-1.067584,0,37,-2.034634,1.597563,0.001481
R1_6m,-3.789471,-5.930148,0.796346,-0.312873,-1.109220,0,51,140,-0.312873,-1.109220,0,51,-0.312873,-1.109220,0,51,-0.312873,-1.109220,0,51,-0.312873,-1.109220,0,51,-0.446426,-1.242773,0,48,-2.054634,1.741761,0.022000
R1_9m,-3.312689,-2.965363,0.278936,-0.465940,-0.744876,0,48,140,-0.465946,-0.744882,0,48,-0.465946,-0.744882,0,48,-0.465940,-0.744876,0,48,-0.465940,-0.744876,0,48,-0.552967,-0.831903,0,46,-2.064634,1.598694,0.013775
R1_12m,-3.117890,0.031882,-0.572457,-0.628267,-0.055811,0,139,140,-0.628337,-0.055880,0,138,-0.628253,-0.055797,0,139,-0.628267,-0.055811,0,139,-0.628267,-0.055811,0,139,-0.634937,-0.062481,0,138,-2.064634,1.436367,0.000000
R1_15m,-2.723515,3.006335,-0.667098,-0.771279,-0.104180,0,139,140,-0.777155,-0.110057,0,139,-0.775958,-0.108859,0,139,-0.771279,-0.104180,0,139,-0.771279,-0.104180,0,139,-0.772799,-0.105701,0,139,-2.064634,1.293356,0.015101
R1_18m,-2.410736,5.990322,-3.173218,-3.175523,-0.002305,0,139,140,-3.180577,-0.007359,0,139,-3.175393,-0.002175,0,139,-3.175523,-0.002305,0,139,-3.175523,-0.002305,0,139,-3.182693,-0.009474,0,139,-2.074634,-1.100888,0.019119
R1_21m,-2.057890,8.969330,-3.110462,-3.113581,-0.003120,0,139,140,-3.153304,-0.042843,0,139,-3.116703,-0.006241,0,139,-3.113581,-0.003120,0,139,-3.113581,-0.003120,0,139,-3.152305,-0.041844,0,139,-2.074634,-1.038947,0.002552
R1_24m,-1.791375,11.958624,-2.950884,-2.951512,-0.000628,0,139,140,-3.131297,-0.180413,0,139,-2.959822,-0.008938,0,139,-2.951512,-0.000628,0,139,-2.951512,-0.000628,0,139,-3.162296,-0.211412,0,139,-2.064634,-0.886878,0.007284
R1_27m,-1.365073,14.929742,-2.959182,-2.950744,0.008439,0,139,140,-3.139054,-0.179872,0,139,-2.979114,-0.019932,0,139,-2.950744,0.008439,0,139,-2.950744,0.008439,0,139,-3.533677,-0.574494,0,139,-1.964634,-0.986109,0.133071
