id,x_hit_mm,y_hit_mm,z_hit_mm,found,dist_xy_mm
R1_start,nan,nan,nan,1,nan
R1_3m,nan,nan,nan,1,nan
R1_6m,nan,nan,nan,1,nan
R1_9m,nan,nan,nan,1,nan
R1_12m,nan,nan,nan,1,nan
R1_15m,nan,nan,nan,1,nan
R1_18m,nan,nan,nan,1,nan
R1_21m,nan,nan,nan,1,nan
R1_24m,-1781.270829,12010.964552,3791.699782,0,49.964629
R1_27m,nan,nan,nan,1,nan
R1_30m,nan,nan,nan,1,nan
R1_33m,nan,nan,nan,1,nan
R1_36m,-439.556228,23914.642840,3028.057327,0,73.130899
R1_39m,nan,nan,nan,1,nan
R1_42m,nan,nan,nan,1,nan
R1_end,nan,nan,nan,1,nan
R2_start,nan,nan,nan,1,nan
R2_3m,nan,nan,nan,1,nan
R2_6m,nan,nan,nan,1,nan
R2_9m,nan,nan,nan,1,nan
R2_12m,nan,nan,nan,1,nan
R2_15m,nan,nan,nan,1,nan
R2_18m,nan,nan,nan,1,nan
R2_21m,-656.409551,8912.802736,2903.896525,0,50.454548
R2_24m,-289.759905,11872.946304,2765.338584,0,24.363620
R2_27m,nan,nan,nan,1,nan
R2_30m,nan,nan,nan,1,nan
R2_33m,nan,nan,nan,1,nan
R2_36m,nan,nan,nan,1,nan
R2_39m,nan,nan,nan,1,nan
R2_42m,1471.287077,29980.389184,1762.716588,0,83.136294
R2_end,1951.955718,31690.446416,1473.669761,0,47.403396
