id,x_tgt_m,y_tgt_m,x_hit_m,y_hit_m,z_hit_m,found,dist_xy_m
R1_start,-4.515621,-11.876895,nan,nan,nan,1,nan
R1_3m,-4.175621,-8.906895,nan,nan,nan,1,nan
R1_6m,-3.835621,-5.926895,nan,nan,nan,1,nan
R1_9m,-3.495621,-2.946895,nan,nan,nan,1,nan
R1_12m,-3.155621,0.033105,nan,nan,nan,1,nan
R1_15m,-2.815621,3.013105,nan,nan,nan,1,nan
R1_18m,-2.475621,5.993105,nan,nan,nan,1,nan
R1_21m,-2.135621,9.003105,-1.636000,9.090960,3.616372,0,0.507287
R1_24m,-1.795621,11.963105,-1.780570,12.006240,3.790221,0,0.045685
R1_27m,-1.425621,15.083105,-1.671041,15.108213,-4.517124,0,0.246701
R1_30m,-1.095621,18.043105,-1.223852,18.023885,-3.489738,0,0.129663
R1_33m,-0.755621,20.933105,-0.904847,21.116985,3.334115,0,0.236813
R1_36m,-0.395621,23.973105,-0.439556,23.914643,3.028057,0,0.073131
R1_39m,-0.055621,26.453105,-0.168535,26.497665,2.868249,0,0.121388
R1_42m,0.374379,30.113105,0.364428,30.252647,2.513595,0,0.139896
R1_end,0.574379,32.673105,0.798853,32.562849,2.297601,0,0.250090
R2_start,-2.985621,-11.976895,nan,nan,nan,1,nan
R2_3m,-2.655621,-8.976895,nan,nan,nan,1,nan
R2_6m,-2.305621,-6.026895,nan,nan,nan,1,nan
R2_9m,-1.965621,-3.046895,nan,nan,nan,1,nan
R2_12m,-1.625621,-0.066895,nan,nan,nan,1,nan
R2_15m,-1.285621,2.923105,nan,nan,nan,1,nan
R2_18m,-0.945621,5.903105,-0.076387,6.134887,2.412706,0,0.899606
R2_21m,-0.615621,8.883105,-0.656410,8.912803,2.903897,0,0.050455
R2_24m,-0.275621,11.853105,-0.289760,11.872946,2.765339,0,0.024364
R2_27m,0.044379,14.883105,-0.091888,14.883594,2.726616,0,0.136268
R2_30m,0.404379,17.903105,0.550362,17.906018,2.277001,0,0.146012
R2_33m,0.884379,20.823105,1.021884,20.816742,1.999416,0,0.137652
R2_36m,1.074379,23.753105,0.868875,23.733704,1.981053,0,0.206417
R2_39m,1.504379,27.073105,1.664608,27.117128,1.598984,0,0.166167
R2_42m,1.554379,29.983105,1.471630,29.987369,1.763118,0,0.082859
R2_end,1.954379,31.643105,1.951648,31.685461,1.473444,0,0.042444
