point_id,x_m,y_m,z_ref_m,z_raw_m,z_filt_full_chain_m,z_filt_kalman_m,z_filt_normal_m,z_filt_outlier_m,z_filt_planarity_m
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,-0.919121,-0.919121,-0.919121,-0.919121,-0.919121
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,0.072181,0.072181,0.072181,0.072181,-0.160660
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-0.293572,-0.293572,-0.293572,-0.293572,-0.544774
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,-1.840985,-1.840985,-1.840985,-1.840985,-1.840985
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,-0.878322,-0.592061,-0.592061,-0.878322,-0.878322
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.700555,-0.667695,-0.668354,-0.667331,-0.701813
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,2.197054,2.278366,2.272420,2.278928,2.195925
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,2.630344,2.482910,2.491280,2.485258,2.632538
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,2.890599,2.961105,3.028039,2.961660,2.899963
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,2.622279,2.469133,2.503534,2.482971,3.218518
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,3.210638,2.771745,2.860738,2.754267,3.440781
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,2.859326,2.952819,2.960274,2.954106,3.228705
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,2.452544,2.859137,2.894995,2.858881,2.832350
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,2.108031,2.166488,2.158902,2.170616,2.407449
R1_42m,0.374379,30.113105,-2.018502,-2.014634,2.071376,2.664235,2.852499,2.684310,2.463508
R1_end,0.574379,32.673105,-2.058502,-2.064634,2.033358,2.264412,2.281526,2.267988,0.940785
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,,,,,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,1.306039,1.306039,1.306039,1.306039,1.306039
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.541007,0.541007,0.541007,0.541007,0.541007
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,,,,,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,,0.378718,0.378934,,0.378934
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,1.500469,1.554047,1.549500,1.554148,1.499226
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,1.624800,1.612955,1.616306,1.613134,1.621593
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,1.837418,1.931855,1.907981,1.932191,1.827059
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,1.583436,1.436880,1.472367,1.437515,1.608513
R2_27m,0.044379,14.883105,-1.908502,-1.914634,1.620685,1.408088,1.411688,1.410840,1.603886
R2_30m,0.404379,17.903105,-2.028502,-2.024634,0.912150,1.022755,0.968703,1.025995,0.967983
R2_33m,0.884379,20.823105,-2.058502,-2.064634,0.720979,0.824165,0.910785,0.821969,0.972577
R2_36m,1.074379,23.753105,-1.928502,-1.944634,1.052168,0.785850,0.848507,0.780765,0.871838
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.304294,0.413307,0.435534,0.407863,0.526358
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.541361,0.364610,0.314520,0.362879,0.488050
R2_end,1.954379,31.643105,-1.968502,-1.954634,1.397340,0.402534,0.490355,0.390815,0.480240
