point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity
R1_start,-4.515000,-11.886000,0.228272,0.005876,-0.222395,0,140,140,-0.169929,-0.398200,0,140,0.006377,-0.221895,0,140,0.020485,-0.207787,0,140,0.005876,-0.222395,0,140,-0.228926,-0.457198,0,140
R1_3m,-4.174834,-8.905372,0.677262,0.364799,-0.312463,0,140,140,0.151326,-0.525936,0,140,0.364810,-0.312452,0,140,0.262483,-0.414779,0,140,0.364799,-0.312463,0,140,0.122843,-0.554419,0,140
R1_6m,-3.834668,-5.924744,0.737414,0.280652,-0.456762,0,140,140,0.294204,-0.443210,0,140,0.278552,-0.458862,0,140,0.300825,-0.436589,0,140,0.280652,-0.456762,0,140,0.282977,-0.454437,0,140
R1_9m,-3.494503,-2.944116,1.144626,0.530257,-0.614368,0,140,140,0.511267,-0.633359,0,140,0.531823,-0.612803,0,140,0.511398,-0.633228,0,140,0.530257,-0.614368,0,140,0.505112,-0.639514,0,140
R1_12m,-3.154337,0.036511,-0.563684,-0.617291,-0.053607,0,140,140,-0.617426,-0.053742,0,140,-0.617277,-0.053593,0,140,-0.617291,-0.053607,0,140,-0.617291,-0.053607,0,140,-0.623936,-0.060252,0,140
R1_15m,-2.814171,3.017139,-0.645916,-0.738473,-0.092557,0,140,140,-0.748144,-0.102228,0,140,-0.746955,-0.101039,0,140,-0.738473,-0.092557,0,140,-0.738473,-0.092557,0,140,-0.739683,-0.093768,0,140
R1_18m,-2.474005,5.997767,-3.143819,-3.148700,-0.004881,0,140,140,-3.153718,-0.009899,0,140,-3.148571,-0.004752,0,140,-3.148700,-0.004881,0,140,-3.148700,-0.004881,0,140,-3.155818,-0.011999,0,140
R1_21m,-2.133839,8.978395,-3.082748,-3.111560,-0.028812,0,139,140,-3.152892,-0.070144,0,139,-3.114520,-0.031772,0,139,-3.111560,-0.028812,0,139,-3.111560,-0.028812,0,139,-3.151530,-0.068782,0,139
R1_24m,-1.793673,11.959023,-2.933353,-2.951882,-0.018529,0,139,140,-3.133807,-0.200453,0,139,-2.959822,-0.026469,0,139,-2.951882,-0.018529,0,139,-2.951882,-0.018529,0,139,-3.162296,-0.228942,0,139
R1_27m,-1.453508,14.939651,-2.903779,-2.887768,0.016011,0,139,140,-3.104276,-0.200497,0,139,-2.903485,0.000295,0,139,-2.887768,0.016011,0,139,-2.887768,0.016011,0,139,-3.384065,-0.480286,0,139
R1_30m,-1.113342,17.920279,-3.372139,-3.454394,-0.082255,0,139,140,-3.306438,0.065700,0,139,-3.455318,-0.083179,0,139,-3.454394,-0.082255,0,139,-3.454394,-0.082255,0,139,-3.188246,0.183893,0,139
R1_33m,-0.773176,20.900907,-2.980761,-3.124152,-0.143391,0,139,140,-2.891761,0.089000,0,139,-3.131974,-0.151213,0,139,-3.003763,-0.023002,0,139,-3.124152,-0.143391,0,139,-3.387928,-0.407167,0,139
R1_36m,-0.433010,23.881534,-2.055774,-3.497212,-1.441439,0,139,140,-2.056882,-0.001108,0,139,-3.516581,-1.460807,0,139,-2.635887,-0.580113,0,139,-3.497212,-1.441439,0,139,-2.257823,-0.202050,0,139
R1_39m,-0.092844,26.862162,-2.218863,-3.529307,-1.310444,0,139,140,-3.640688,-1.421824,0,139,-3.529242,-1.310379,0,139,-3.536557,-1.317694,0,139,-3.529307,-1.310444,0,139,0.277192,2.496055,0,139
R1_42m,0.247322,29.842790,1.011752,1.012575,0.000824,0,139,140,1.263276,0.251525,0,139,1.012658,0.000906,0,139,0.908521,-0.103231,0,139,1.012575,0.000824,0,139,0.226378,-0.785373,0,139
R1_end,0.575000,32.714000,0.900270,0.897499,-0.002771,0,139,140,1.464428,0.564158,0,139,0.896977,-0.003293,0,139,0.891874,-0.008396,0,139,0.971975,0.071705,0,139,0.015239,-0.885030,0,139
R2_start,-2.975000,-11.986000,-0.005051,-0.128525,-0.123475,0,140,140,-0.318752,-0.313701,0,140,-0.125927,-0.120876,0,140,-0.075229,-0.070178,0,140,-0.128525,-0.123475,0,140,-0.318762,-0.313711,0,140
R2_3m,-2.637482,-9.005047,0.528296,0.308109,-0.220187,0,140,140,0.154858,-0.373438,0,140,0.305282,-0.223014,0,140,0.274963,-0.253333,0,140,0.308109,-0.220187,0,140,0.102685,-0.425611,0,140
R2_6m,-2.299964,-6.024094,0.704577,0.378381,-0.326196,0,140,140,0.330107,-0.374470,0,140,0.378013,-0.326564,0,140,0.380474,-0.324103,0,140,0.378381,-0.326196,0,140,0.304320,-0.400257,0,140
R2_9m,-1.962446,-3.043142,1.129705,0.677652,-0.452053,0,140,140,0.604930,-0.524774,0,140,0.678964,-0.450741,0,140,0.658474,-0.471231,0,140,0.677652,-0.452053,0,140,0.600384,-0.529320,0,140
R2_12m,-1.624928,-0.062189,0.604676,0.496073,-0.108603,0,140,140,0.497677,-0.106999,0,140,0.497667,-0.107009,0,140,0.496660,-0.108016,0,140,0.496073,-0.108603,0,140,0.498466,-0.106210,0,140
R2_15m,-1.287410,2.918764,-0.348402,-0.688652,-0.340250,0,140,140,0.778237,1.126639,0,140,-0.735933,-0.387531,0,140,0.463302,0.811704,0,140,-0.688652,-0.340250,0,140,0.715571,1.063973,0,140
R2_18m,-0.949892,5.899717,-3.152306,-3.097884,0.054422,0,140,140,-3.153290,-0.000984,0,140,-3.148143,0.004163,0,140,-3.124036,0.028270,0,140,-3.097884,0.054422,0,140,-3.153054,-0.000748,0,140
R2_21m,-0.612375,8.880670,-3.448719,-3.705796,-0.257077,0,140,140,-3.680064,-0.231346,0,140,-3.736865,-0.288147,0,140,-3.705796,-0.257077,0,140,-3.705796,-0.257077,0,140,-3.660965,-0.212247,0,140
R2_24m,-0.274857,11.861623,-3.761892,-3.782344,-0.020452,0,139,140,-3.520362,0.241530,0,139,-3.788389,-0.026497,0,139,-3.782344,-0.020452,0,139,-3.782344,-0.020452,0,139,-3.538946,0.222946,0,139
