point_id,dist_xy_to_profile_m,dz_raw_minus_profile_m,profile_file,px,py,pz
R1_start,0.011,1.900510,rail_1_points.csv,-4.507890,-11.878118,-1.894634
R1_3m,0.007,2.339433,rail_1_points.csv,-4.167890,-8.908118,-1.974634
R1_6m,0.005,2.305286,rail_1_points.csv,-3.837890,-5.928118,-2.024634
R1_9m,0.005,2.524891,rail_1_points.csv,-3.497890,-2.948118,-1.994634
R1_12m,0.006,1.417343,rail_1_points.csv,-3.157890,0.031882,-2.034634
R1_15m,0.006,1.266161,rail_1_points.csv,-2.817890,3.021882,-2.004634
R1_18m,0.006,-1.104066,rail_1_points.csv,-2.477890,6.001882,-2.044634
R1_21m,0.007,-1.126926,rail_1_points.csv,-2.127890,8.981882,-1.984634
R1_24m,0.005,-0.887248,rail_1_points.csv,-1.797890,11.961882,-2.064634
R1_27m,0.118,-0.923134,rail_1_points.csv,-1.417890,15.051882,-1.964634
R1_30m,0.103,-1.409760,rail_1_points.csv,-1.097890,18.021882,-2.044634
R1_33m,0.028,-1.129518,rail_1_points.csv,-0.747890,20.911882,-1.994634
R1_36m,0.101,-1.562578,rail_1_points.csv,-0.387890,23.971882,-1.934634
R1_39m,0.419,-1.494673,rail_1_points.csv,0.062110,27.251882,-2.034634
R1_42m,0.306,3.027209,rail_1_points.csv,0.372110,30.121882,-2.014634
R1_end,0.063,2.962133,rail_1_points.csv,0.562110,32.651882,-2.064634
R2_start,0.039,1.846109,rail_2_points.csv,-2.967890,-11.948118,-1.974634
R2_3m,0.003,2.332743,rail_2_points.csv,-2.637890,-9.008118,-2.024634
R2_6m,0.005,2.303015,rail_2_points.csv,-2.297890,-6.028118,-1.924634
R2_9m,0.007,2.602286,rail_2_points.csv,-1.967890,-3.048118,-1.924634
R2_12m,0.005,2.400707,rail_2_points.csv,-1.627890,-0.058118,-1.904634
R2_15m,0.003,1.235982,rail_2_points.csv,-1.287890,2.921882,-1.924634
R2_18m,0.003,-1.153250,rail_2_points.csv,-0.947890,5.901882,-1.944634
R2_21m,0.006,-1.651162,rail_2_points.csv,-0.617890,8.881882,-2.054634
R2_24m,0.030,-1.837710,rail_2_points.csv,-0.277890,11.831882,-1.944634
R2_27m,0.022,-1.698669,rail_2_points.csv,0.052110,14.861882,-1.914634
R2_30m,0.012,-1.464828,rail_2_points.csv,0.412110,17.821882,-2.024634
R2_33m,0.145,0.819144,rail_2_points.csv,0.882110,20.821882,-2.064634
R2_36m,0.074,2.471480,rail_2_points.csv,1.082110,23.711882,-1.944634
R2_39m,0.166,2.587612,rail_2_points.csv,1.492110,26.911882,-1.994634
R2_42m,0.479,2.306396,rail_2_points.csv,1.972110,30.171882,-2.024634
R2_end,0.203,2.113909,rail_2_points.csv,1.942110,31.441882,-1.954634
